,name,author,rating,year,genre
196,Rush Revere and the Brave Pilgrims: Time-Travel Adventures with Exceptional Americans (1),Rush Limbaugh,4.9,2013,Fiction
197,Rush Revere and the First Patriots: Time-Travel Adventures With Exceptional Americans (2),Rush Limbaugh,4.9,2014,Fiction
198,"Salt, Fat, Acid, Heat: Mastering the Elements of Good Cooking",Samin Nosrat,4.8,2018,Non Fiction
199,Sarah's Key,Tatiana de Rosnay,4.6,2010,Fiction
200,"School Zone - Big Preschool Workbook - Ages 4 and Up, Colors, Shapes, Numbers 1-10, Alphabet, Pre-Writing, Pre-Reading…",School Zone,4.8,2018,Childrens
201,"Secret Garden: An Inky Treasure Hunt and Coloring Book (For Adults, mindfulness coloring)",Johanna Basford,4.7,2015,Non Fiction
202,Sh*t My Dad Says,Justin Halpern,4.7,2010,Non Fiction
203,Ship of Fools: How a Selfish Ruling Class Is Bringing America to the Brink of Revolution,Tucker Carlson,4.8,2018,Non Fiction
204,Shred: The Revolutionary Diet: 6 Weeks 4 Inches 2 Sizes,Ian K. Smith M.D.,4.1,2013,Non Fiction
205,Sookie Stackhouse,Charlaine Harris,4.7,2009,Fiction
206,"Soul Healing Miracles: Ancient and New Sacred Wisdom, Knowledge, and Practical Techniques for Healing the Spiritual…",Zhi Gang Sha,4.6,2013,Non Fiction
207,Steve Jobs,Walter Isaacson,4.6,2011,Non Fiction
208,Strange Planet (Strange Planet Series),Nathan W. Pyle,4.9,2019,Fiction
209,StrengthsFinder 2.0,Gallup,4.0,2009,Non Fiction
210,"Super Freakonomics: Global Cooling, Patriotic Prostitutes, and Why Suicide Bombers Should Buy Life Insurance",Steven D. Levitt,4.5,2009,Non Fiction
211,Switch: How to Change Things When Change Is Hard,Chip Heath,4.6,2010,Non Fiction
212,Sycamore Row (Jake Brigance),John Grisham,4.5,2013,Fiction
213,Teach Like a Champion: 49 Techniques that Put Students on the Path to College,Doug Lemov,4.4,2010,Non Fiction
214,The 17 Day Diet: A Doctor's Plan Designed for Rapid Results,Mike Moreno,4.3,2011,Non Fiction
215,"The 4 Hour Body: An Uncommon Guide to Rapid Fat Loss, Incredible Sex and Becoming Superhuman",Timothy Ferriss,4.3,2011,Non Fiction
216,The 5 Love Languages: The Secret to Love That Lasts,Gary Chapman,4.7,2010,Non Fiction
217,The 5 Love Languages: The Secret to Love that Lasts,Gary Chapman,4.8,2015,Non Fiction
218,The 5000 Year Leap,W. Cleon Skousen,4.8,2009,Non Fiction
219,The 7 Habits of Highly Effective People: Powerful Lessons in Personal Change,Stephen R. Covey,4.6,2009,Non Fiction
220,The Alchemist,Paulo Coelho,4.7,2014,Fiction
221,The Amateur,Edward Klein,4.6,2012,Non Fiction
222,The Art of Racing in the Rain: A Novel,Garth Stein,4.7,2010,Fiction
223,The Big Short: Inside the Doomsday Machine,Michael Lewis,4.7,2010,Non Fiction
224,The Blood of Olympus (The Heroes of Olympus (5)),Rick Riordan,4.8,2014,Fiction
225,"The Blood Sugar Solution: The UltraHealthy Program for Losing Weight, Preventing Disease, and Feeling Great Now!",Mark Hyman M.D.,4.2,2012,Non Fiction
226,"The Body Keeps the Score: Brain, Mind, and Body in the Healing of Trauma",Bessel van der Kolk M.D.,4.8,2019,Non Fiction
227,The Book of Basketball: The NBA According to The Sports Guy,Bill Simmons,4.7,2009,Non Fiction
228,The Book Thief,Markus Zusak,4.6,2013,Fiction
229,The Book with No Pictures,B. J. Novak,4.8,2014,Fiction
230,The Boys in the Boat: Nine Americans and Their Epic Quest for Gold at the 1936 Berlin Olympics,Daniel James Brown,4.8,2014,Non Fiction
231,The Casual Vacancy,J.K. Rowling,3.3,2012,Fiction
232,The China Study: The Most Comprehensive Study of Nutrition Ever Conducted And the Startling Implications for Diet…,Thomas Campbell,4.7,2011,Non Fiction
233,The Complete Ketogenic Diet for Beginners: Your Essential Guide to Living the Keto Lifestyle,Amy Ramos,4.3,2018,Non Fiction
234,The Confession: A Novel,John Grisham,4.3,2010,Fiction
235,The Constitution of the United States,Delegates of the Constitutional,4.8,2016,Non Fiction
236,The Daily Show with Jon Stewart Presents Earth (The Book): A Visitor's Guide to the Human Race,Jon Stewart,4.4,2010,Non Fiction
237,The Day the Crayons Quit,Drew Daywalt,4.8,2013,Fiction
238,"The Dukan Diet: 2 Steps to Lose the Weight, 2 Steps to Keep It Off Forever",Pierre Dukan,4.1,2011,Non Fiction
239,The Elegance of the Hedgehog,Muriel Barbery,4.0,2009,Fiction
240,The Fault in Our Stars,John Green,4.7,2012,Fiction
241,The Five Dysfunctions of a Team: A Leadership Fable,Patrick Lencioni,4.6,2009,Non Fiction
